lat,lon,date,landslide,location,soil_moisture_percent
30.5833,79.0667,2013-06-16,1,Kedarnath Area,78
30.5167,79.0833,2012-09-14,1,Okhimath Region,68
30.5689,79.0521,2013-06-17,1,Rambara,85
30.4851,79.0289,2017-08-14,1,Phata / Mandakini Valley,72
30.4072,78.9811,2020-07-20,1,Agastyamuni slope,75
30.2844,78.9811,2021-10-18,1,Rudraprayag Town Bypass,70
30.285,78.98,2023-05-10,0,Alaknanda Riverbank Flat,35
30.39,78.97,2023-06-15,0,Agastyamuni Valley Floor,42
30.45,79.01,2023-07-01,0,Guptkashi Flat Terrain,38
30.25,78.95,2023-08-10,0,Srinagar-Rudraprayag Border Plain,30
30.5,79.0,2023-09-05,0,Valley Floor Settlement,45
